País	Produto	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Alemanha	Espumantes	153,00	3.547,00	5.423,00	6.648,00	1.958,00	1.976,00	833,00	5.809,00	9.236,00	6.256,00	4.293,00	4.824,00	4.092,00	1.003,00	2.388,00	142,00
Angola	Espumantes	3.314,00	6.293,00	2.244,00	11.393,00	104.138,00	904,00	73,00	5.850,00	6.866,00	0,00	90,00	0,00	63,00	1.007,00	24,00	0,00
Antigua e Barbuda	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	7,00	32,00	10,00
Antilhas Holandesas	Espumantes	0,00	0,00	0,00	180,00	0,00	9.144,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Argentina	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	4.342,00	0,00	315,00	0,00
Aruba	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	18,00	0,00	0,00	0,00
Australia	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	1.317,00	767,00	618,00	235,00	594,00	595,00	0,00	180,00	144,00	184,00
Bahamas	Espumantes	0,00	0,00	0,00	0,00	146,00	1.001,00	216,00	270,00	0,00	0,00	0,00	0,00	5,00	18,00	434,00	179,00
Bangladesh	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00
Barbados	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	57,00	4,00
Belgica	Espumantes	3.375,00	540,00	112,00	0,00	12.897,00	0,00	7.404,00	1.100,00	104.153,00	900,00	0,00	450,00	1.800,00	1.869,00	0,00	0,00
Benin	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	24,00	0,00
Bolívia	Espumantes	1.989,00	1.537,00	587,00	0,00	11.960,00	0,00	0,00	0,00	9,00	2.418,00	2.624,00	1.668,00	5.891,00	0,00	5.994,00	21.235,00
Bósnia-Herzegovina	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	10,00	168,00	0,00
Bulgaria	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
