País	Produto	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Alemanha	Espumantes	$928,00	$10.192,00	$20.928,00	$29.018,00	$6.877,00	$12.018,00	$5.072,00	$30.461,00	$62.169,00	$30.939,00	$19.088,00	$28.799,00	$21.373,00	$5.466,00	$14.767,00	$265,00
Angola	Espumantes	$6.657,00	$26.252,00	$10.581,00	$33.664,00	$672.533,00	$14.196,00	$1.426,00	$21.060,00	$22.423,00	$0,00	$1.010,00	$0,00	$280,00	$3.615,00	$38,00	$0,00
Antigua e Barbuda	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$34,00	$328,00	$82,00
Antilhas Holandesas	Espumantes	$0,00	$0,00	$0,00	$1.660,00	$0,00	$65.766,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00
Argentina	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$17.243,00	$0,00	$894,00	$0,00
Aruba	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$7,00	$0,00	$0,00	$0,00
Australia	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$11.057,00	$5.809,00	$3.951,00	$1.368,00	$2.602,00	$2.276,00	$0,00	$800,00	$503,00	$654,00
Bahamas	Espumantes	$0,00	$0,00	$0,00	$0,00	$795,00	$7.034,00	$2.160,00	$2.700,00	$0,00	$0,00	$0,00	$0,00	$17,00	$79,00	$1.033,00	$461,00
Bangladesh	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$28,00
Barbados	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$105,00	$58,00
Belgica	Espumantes	$18.128,00	$2.304,00	$682,00	$0,00	$49.742,00	$0,00	$40.086,00	$6.078,00	$499.164,00	$5.280,00	$0,00	$2.646,00	$10.555,00	$11.405,00	$0,00	$0,00
Benin	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$181,00	$0,00
Bolívia	Espumantes	$5.940,00	$5.865,00	$2.048,00	$0,00	$5.553,00	$0,00	$0,00	$0,00	$250,00	$11.355,00	$12.811,00	$21.056,00	$25.277,00	$0,00	$16.901,00	$64.988,00
Bósnia-Herzegovina	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$53,00	$161,00	$0,00
Bulgaria	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00
Cabo Verde	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$12,00
Camarões	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$16.077,00	$284,00	$0,00	$0,00	$0,00
